feature,gain_importance
id,2.1666738986968994
docvis,1.8890173435211182
hospvis,1.567215085029602
edlevel,1.94194495677948
age,2.39876651763916
outwork,13.087844848632812
female,3.1305322647094727
married,1.9943846464157104
kids,2.0568809509277344
hhninc,2.6558914184570312
educ,2.2167065143585205
edlevel1,2.3243048191070557
edlevel2,3.1940460205078125
edlevel3,1.780820369720459
edlevel4,0.0
