candidate_set,roc_auc,prauc,prauc_at_10
baseline_all,0.8410957575348619,0.40182767391823176,0.4857648483654737
filtered,0.8381783906087565,0.39359399922904115,0.4765674703586269
aggressive,0.8390798538258943,0.40046080116113275,0.4835548937020987
